cq_id,atomic,answerable,falsifiable,scoped,prioritized,sample_bearing,decision,notes
CQ-001,pass,pass,pass,pass,pass,pass,advance,"Single-question relational lookup; empty result when Post has no CMC; stays in scope per scope.md § In-scope."
CQ-002,pass,pass,pass,pass,pass,pass,advance,"Cardinality 1..1 — falsifiable by the 'zero authors' violation row."
CQ-003,pass,pass,pass,pass,pass,pass,advance,"0..1 resolution — empty is valid (unresolved CMC) but query shape still answerable."
CQ-004,pass,pass,pass,pass,pass,pass,advance,"Mirror of CQ-003 for Series."
CQ-005,pass,pass,pass,pass,pass,pass,advance,"Mirror of CQ-003 for Distribution."
CQ-006,pass,pass,pass,pass,pass,pass,advance,"Inverse walk for the cross-expert join; 0 rows is a valid cold-start answer."
CQ-007,pass,pass,pass,pass,pass,pass,advance,"Two-hop join (Variable → CMC → Post → Expert); empty when Variable has no claims yet."
CQ-008,pass,pass,pass,pass,pass,pass,advance,"Full cross-expert payload — atomic because it is the defined product query; scoped because it is UC-003's whole point."
CQ-009,pass,pass,pass,pass,pass,pass,advance,"Constraint CQ — zero rows is the pass condition; non-zero is a TBox invariant violation."
CQ-010,pass,pass,pass,pass,pass,pass,advance,"Atomic: single question about the resolution shape of one CMC. Five OPTIONAL clauses are the answer shape, not five questions."
CQ-011,pass,pass,pass,pass,pass,pass,advance,"Cardinality 0..n allows multi-speaker segments; should_have because podcast lane is planned not live."
CQ-012,pass,pass,pass,pass,pass,pass,advance,"Mirror of CQ-001 for PodcastSegment evidence."
CQ-013,pass,pass,pass,pass,pass,pass,advance,"Rewritten 2026-04-22: CMC-level ei:aboutTechnology replaces the Variable-facet model. Union property path (skos:broader | rdfs:subClassOf)* works both under V0 skos hierarchy and post-OEO-MIREOT punning. Falsifiable when no CMC is tagged for the concept."
CQ-014,pass,pass,pass,pass,pass,pass,advance,"Rewritten 2026-04-22: two-hop walk Post → CMC → concept (Variable hop removed). Transitively empty when no classifications assert the target concept branch."
